# frequency amplitude_GR amplitude_mod_GR
3.860000000000000142e+01 1.076950061348099258e-23 1.099078417539681915e-23
3.870000000000000284e+01 1.064099217098565731e-23 1.097777452000128388e-23
3.880000000000000426e+01 9.998545298550004956e-24 1.042398673317381858e-23
3.890000000000000568e+01 8.938255895369232415e-24 9.401731701733924563e-24
3.900000000000000000e+01 7.677672412390265223e-24 8.110740424534323873e-24
3.910000000000000142e+01 6.531915764331373059e-24 6.860125759026168063e-24
3.920000000000000284e+01 5.823497159063719965e-24 6.001526459611981315e-24
3.930000000000000426e+01 5.660106660607220002e-24 5.723023978872098945e-24
3.940000000000000568e+01 5.803113181243436410e-24 5.844968027888308574e-24
3.950000000000000000e+01 5.890179084511243155e-24 5.984355674704157841e-24
3.960000000000000142e+01 5.680262052172516761e-24 5.847674112624624627e-24
3.970000000000000284e+01 5.115350141760953903e-24 5.326299627524838607e-24
3.980000000000000426e+01 4.332014988264163454e-24 4.502809945702998543e-24
3.990000000000000568e+01 3.716992261488515123e-24 3.703331585542554238e-24
4.000000000000000000e+01 3.830189700136227402e-24 3.540688447472067423e-24
4.010000000000000142e+01 4.769070454917132947e-24 4.344026564088100883e-24
4.020000000000000284e+01 6.070917517563920869e-24 5.671243516693123939e-24
4.030000000000000426e+01 7.327019387050021346e-24 7.026511832274094361e-24
4.040000000000000568e+01 8.311855527431136535e-24 8.134969418789116046e-24
4.050000000000000000e+01 8.926901938301978144e-24 8.869191440359439498e-24
4.060000000000000142e+01 9.171729892698460211e-24 9.206749497197852928e-24
4.070000000000000284e+01 9.132684110847587758e-24 9.216934524624499587e-24
4.080000000000000426e+01 8.968710562002667737e-24 9.050295993261262072e-24
4.090000000000000568e+01 8.875167151715928766e-24 8.910315058005436407e-24
4.100000000000000000e+01 9.012123645642015717e-24 8.987107947884054078e-24
4.110000000000000142e+01 9.424173471347760536e-24 9.365732616135777354e-24
4.120000000000000284e+01 1.002130996417455467e-23 9.981856197266373160e-24
4.130000000000000426e+01 1.063819199428873817e-23 1.067019359709135002e-23
4.140000000000000568e+01 1.110911154332079578e-23 1.124871920952623450e-23
4.150000000000000000e+01 1.131224320279679473e-23 1.157438391765003673e-23
4.160000000000000142e+01 1.118509405650942596e-23 1.156423846853431569e-23
4.170000000000000284e+01 1.072591178545400228e-23 1.119871726294678617e-23
4.180000000000000426e+01 9.989812669921878260e-24 1.051838468571843499e-23
4.190000000000000568e+01 9.082506874830039163e-24 9.618315135802929435e-24
4.200000000000000000e+01 8.150058276873588722e-24 8.639811734506077981e-24
4.210000000000000142e+01 7.356561973158347912e-24 7.753347828704963700e-24
4.220000000000000284e+01 6.835992182486398261e-24 7.118321889937740930e-24
4.230000000000000426e+01 6.624568776073522159e-24 6.813252426927909860e-24
4.240000000000000568e+01 6.632584233678460926e-24 6.782570460774949418e-24
4.250000000000000000e+01 6.698875663085451333e-24 6.868718299842462665e-24
4.260000000000000142e+01 6.671860917660755768e-24 6.900114826170512915e-24
4.270000000000000284e+01 6.454020381545867078e-24 6.752553966355310124e-24
4.280000000000000426e+01 6.012055452020424825e-24 6.367235964829768740e-24
4.290000000000000568e+01 5.377121928769330771e-24 5.750745452827276594e-24
4.300000000000000000e+01 4.651374699169455732e-24 4.977672235861374843e-24
4.310000000000000142e+01 4.025784854466293096e-24 4.208077515584654359e-24
4.320000000000000284e+01 3.767301534429622379e-24 3.709557942113667767e-24
4.330000000000000426e+01 4.049017458039367176e-24 3.762451468200398095e-24
4.340000000000000568e+01 4.759630265083077849e-24 4.372892572547218134e-24
4.350000000000000000e+01 5.649408880492266138e-24 5.278421944264284048e-24
4.360000000000000142e+01 6.520667065606106494e-24 6.227582383964636881e-24
4.370000000000000284e+01 7.254233724578258458e-24 7.065232140839819388e-24
4.380000000000000426e+01 7.788105030399324366e-24 7.707671551849347974e-24
4.390000000000000568e+01 8.102519262519558125e-24 8.120103052618049187e-24
4.400000000000000000e+01 8.212708917825970942e-24 8.306235786761098215e-24
4.410000000000000142e+01 8.164638843533283616e-24 8.303456643373052124e-24
4.420000000000000284e+01 8.030048615191766554e-24 8.178874001805115120e-24
4.430000000000000426e+01 7.897059970825924975e-24 8.022232758239393428e-24
4.440000000000000568e+01 7.852766417544523484e-24 7.931132635550745516e-24
4.450000000000000000e+01 7.958691531274192886e-24 7.986308286100613037e-24
4.460000000000000142e+01 8.229806335793822177e-24 8.224473080738344514e-24
4.470000000000000284e+01 8.631626565405226122e-24 8.626137852567506717e-24
4.480000000000000426e+01 9.096993984773903440e-24 9.127764580858495065e-24
4.490000000000000568e+01 9.549227258401607333e-24 9.647193508401350523e-24
4.500000000000000000e+01 9.919424025616641502e-24 1.010565552302260244e-23
4.510000000000000142e+01 1.015526298119473289e-23 1.044000086655143230e-23
4.520000000000000284e+01 1.022397007811751170e-23 1.060730435085762255e-23
4.530000000000000426e+01 1.011236858609815477e-23 1.058551302925761482e-23
4.540000000000000568e+01 9.825702128335822960e-24 1.037244775062162759e-23
4.550000000000000000e+01 9.385976971174213859e-24 9.984205806172428418e-24
4.560000000000000142e+01 8.830056540400689754e-24 9.453337280274406257e-24
4.570000000000000284e+01 8.207371970921909212e-24 8.826786307078158969e-24
4.580000000000000426e+01 7.576637506310872414e-24 8.163185593476127713e-24
4.590000000000000568e+01 7.000242851786535433e-24 7.528406408592265900e-24
4.600000000000000000e+01 6.534577720018653671e-24 6.987465328940602278e-24
4.610000000000000142e+01 6.216202078085344157e-24 6.591298373295685425e-24
4.620000000000000284e+01 6.048972784725100325e-24 6.361000707976600033e-24
